Numero,D,Dif.,Depart de la randonnee,Parcours,C.V. *,Kl,➚m,Ref Openrunner,Dernier Prog,Lien,
33,33,2,Abbaye de Senanque,Les sentiers de memoire du maquis de Gordes,3,9,424,0019591374,25/4/2024,0019591374,
41,41,2,Abbaye de Senanque,Gordes,3,11,335,0020071390,23/5/2024,0020071390,
57,57,2,Abbaye de Senanque,col des 3 termes,3,9,270,0019617493,26/9/2024,0019617493,
344,261,3,Abbaye de Senanque,La Senancole,3,"13,4",460,,14/12/2021,https://www.openrunner.com/r/,
444,330,2,Apt,pkg Barbe blanche  Vallon Aiguebrun,"3,5",13,350,0008676450,10/5/2018,0008676450,
131,130,2,Aramon les arenes,Les Capitelles d'Aramon,6,14,250,0020042184,3/10/2023,0020042184,
84,83,2,Aubignan,cimetiere-Aubignan,"2,5","13,7",130,0020085794,19/1/2023,0020085794,
331,252,3,Aurel,Mairie d'-Les Coulets et combes d'Aurel,5,"11,5",501,0020180027,2/11/2021,0020180027,
68,67,4,Auribeau,Mourre negre,,9,600,0019591365,16/11/2021,0019591365,
522,386,3,Auribeau,Auribeau - Mourre Negre 2,6,11,539,,23/5/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
62,62,3,Beaumes de Venise,A travers les vignobles des Dentelles lafare et retour,"3,5",10,362,0020102773,15/10/2024,0020102773,
65,64,2,Beaumes de Venise,Rocher de Rocalinaud,"2,5",8,200,0019575268,17/10/2024,0019575268,
92,91,2,Beaumes de Venise, (gendarmerie) Aubignan,"2,5",9,134,0020052159,16/2/2023,0020052159,
157,156,3,Beaumes de Venise,Place du marche -Les 2 Chapelles par le grd Montmirail,"2,5",16,600,0020071336,18/10/2022,0020071336,
235,197,2,Beaumes de Venise,ND d'Aubune,"2,5",8,300,,21/1/2020,https://www.openrunner.com/r/,
343,260,2,Beaumes de Venise,ND d'Aubune-Grand Vallat,"2,5","11,5",330,,9/12/2021,https://www.openrunner.com/r/,
416,304,2,Beaumes de Venise,St Hilaire ,2,9,270,0019575369,1/2/2018,0019575369,
423,311,4,Beaumes de Venise,Les  3 Eveques,2,10,410,0019575319,27/2/2018,0019575319,
15,15,2,Bedoin,les demoiselles coiffees,2,11,280,0016011741,22/2/2024,0016011741,
22,22,3,Bedoin,abbaye de la Madeleine-le grand Barbeirol,"2,5",10,450,,19/3/2024,https://www.openrunner.com/r/,
114,113,3,Bedoin,Les Colombets-Jas des Landerots par curnier,"2,5",8,561,0008043004,4/5/2023,0008043004,
127,126,3,Bedoin,le gros Pata,"2,5",13,393,0020180187,20/6/2023,0020180187,
141,140,3,Bedoin,les Clops-La baume du chat,"2,5",10,600,0020087498,7/11/2023,0020087498,
150,149,4,Bedoin,La Bernarde-la madeleine - gd Barbeirol,3,14,630,0009512352,30/12/1899,0009512352,
161,160,3,Bedoin,Chapelle de la Madeleine,"2,5",13,600,0018624886,1/11/2022,0018624886,
194,174,2,Bedoin,Malaval-tete du fribouquet,"2,5",8,550,,25/10/2018,https://www.openrunner.com/r/,
221,189,3,Bedoin,Les Clops combe curnier,"2,5",11,645,,3/12/2019,https://www.openrunner.com/r/,
272,226,3,Bedoin,Les Clops-Le Badareu,"2,5",11,667,0020141798,27/10/2020,0020141798,
279,229,2,Bedoin,les clops-combe curnier,"2,5",9,350,,21/1/2021,https://www.openrunner.com/r/,
332,253,3,Bedoin,les colombets-combe Curnier,"2,5",9,600,0020122283,7/12/2021,0020122283,
376,274,3,Bedoin,les colombets-Combe de Curnier,"2,5",6,415,0020122283,10/3/2022,0020122283,
413,301,4,Bedoin,Les Baux Combe d‘Ansis ,2,10,480,0019575360,23/1/2018,0019575360,
417,305,4,Bedoin,Les Colombets Combe Curnier ,"1,5",10,650,0019575370,6/2/2018,0019575370,
420,308,3,Bedoin,Les Febriers Combe d‘Ansis ,2,6,360,0020147876,15/2/2018,0020147876,
428,315,3,Bedoin,Domaine de Belezy-La Tete du Gros Charme,,8,420,,15/3/2018,https://www.openrunner.com/r/SI(ESTERREUR(,
436,323,3,Bedoin,Les Clops-Combe Malaval,,8,520,,12/4/2018,https://www.openrunner.com/r/SI(ESTERREUR(,
446,332,3,Bedoin,Domaine de Belezy-Combe Malaval -  Baume du Chat,"1,5",10,650,0008674283,17/5/2018,0008674283,
516,382,3,Bedoin,Demoiselles coiffees,"2,5",9,200,,2/5/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
524,388,2,Bedoin, Pkg 5 sur D217-Combe de Clare,3,9,250,,30/5/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
533,393,3,Bedoin, Pkg 5 sur D217-Combe de Clare,3,13,450,,3/9/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
1,1,2,Blauvac,ND des neiges-La gacholle,2,11,270,0020072124,4/1/2024,0020072124,
118,117,2,Blauvac,Notre Dame des neiges,2,7,285,0019591325,18/5/2023,0019591325,
51,51,3,Bonnieux,foret de cedres portalas,,15,300,0019591401,30/12/1899,0019591401,
37,37,2,Brantes,Brantes Savoillan,"5,5",11,350,0018942694,9/5/2024,0018942694,
401,292,3,brantes,brantes st leger,5,15,450,0020180464,27/12/2023,0020180464,
504,373,4,Buis les Baronnies,Julien,5,17,770,,9/4/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
29,29,2,Buoux,Aigue brun baume de l'eau Sivergues,6,12,311,0020147861,11/4/2024,0020147861,
527,389,3,Buoux,Les seguins -Vallon de l'aigue brun,6,12,400,,11/6/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
44,44,3,Cabrieres d'Avignon,Foret des cedres-Moulin troglodyte,4,9,250,0020043813,4/6/2024,0020043813,
76,75,3,Cabrieres d'Avignon,Pkg Tabourin-Fontaine depuis Cabrieres d'Avignon,4,12,420,0020035808,10/12/2024,0020035808,
116,115,2,Cabrieres d'Avignon,Foret des cedres-Mur de la peste ,4,9,250,0020085795,11/5/2023,0020085795,
310,246,2,Cabrieres d'Avignon,Cabrieres - Senancole - Bories - Troglos,4,11,265,0020147733,6/5/2021,0020147733,
203,180,3,Cairanne,Serre de la garde,4,12,400,0020148275,26/2/2019,0020148275,
225,192,3,Cairanne,Ceuillette de gui,4,11,300,,17/12/2019,https://www.openrunner.com/r/,
2,2,3,Caromb,Pkg salle des fetes -Caromb,2,13,370,0020097679,9/1/2024,0020097679,
55,55,2,Caromb,les collines du Paty,2,10,300,0020041885,19/9/2024,0020041885,
356,265,3,Caromb,La malagrone,2,13,300,,4/1/2022,https://www.openrunner.com/r/,
71,70,3,Cavaillon,Via Ferrata,"4,5",,,------------,19/11/2024,------------,
129,128,4,Chalet liotard,rochers de cachillan Terrain difficile,"4,5",9,400,0020087417,27/6/2023,0020087417,
260,217,3,Chalet Reynard,sommet du ventoux,"3,5",14,550,,15/9/2020,https://www.openrunner.com/r/,
381,277,3,Chalet Reynard,Pas de la frache,4,11,516,0020180246,29/3/2022,0020180246,
26,26,3,Chateauneuf du pape,autour de Chateauneuf,4,14,150,0017688153,2/4/2024,0017688153,
49,49,2,Col des abeilles,jas Forest,"3,5",12,250,0019591614,27/6/2024,0019591614,
431,318,4,Col des abeilles,Les Isnards-Col des abeilles,,14,250,0019576051,27/3/2018,0019576051,
149,148,3,Col du Cayron,Tour des Dentelles,4,14,567,,12/12/2023,https://www.openrunner.com/r/,
437,324,4,Col du Cayron,Tour des Dentelles,,14,567,,17/4/2018,https://www.openrunner.com/r/SI(ESTERREUR(,
36,36,3,Crestet,L'Arfuyen et le Saint-Amand,"3,5",14,550,0018837143,7/5/2024,0018837143,
40,40,3,Crestet,Prebayon,3,13,426,0020039747,21/5/2024,0020039747,
156,155,2,Crestet,coste belle,3,10,262,0020071259,13/10/2022,0020071259,
8,8,3,Crillon le brave,Crillon Pkg mairie -Combe obscure,2,8,330,0019591639,30/1/2024,0019591639,
95,94,2,Crillon le brave,Pied Blanc,2,9,260,0019591323,8/9/2022,0019591323,
130,129,2,Crillon le brave,Crillon - Bedoin,2,10,200,0019591246,3/1/2019,0019591246,
229,194,2,Crillon le brave,Crillon pie blanc,2,8,235,0020141088,2/1/2020,0020141088,
509,376,1,Crillon le brave,Bedoin-Pie blanc-Crillon,2,10,250,,11/4/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
565,422,3,Ensues la redonne,La barriere D248 -La cote bleue,"12 +
peage",13,400,0020036704,22/10/2024,0020036704,
31,31,2,Entrechaux,circuit des Chapelles,"3,5",10,180,0015537841,18/4/2024,0015537841,
551,409,2,Entrechaux,Les chapelles,"3,5",10,200,,24/10/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
402,293,2,Eygaliere,Chapelle St sixte,6,14,350,,9/6/2022,https://www.openrunner.com/r/SI(ESTERREUR(,
450,336,2,Eygaliere,Petit et gros calan,4,13,350,0019576161,7/6/2018,0019576161,
462,344,2,Eygaliere, parking au croisement de la D25-Petit et gros Calan,6,11,270,,20/9/2018,https://www.openrunner.com/r/SI(ESTERREUR(,
456,340,2,Ferrassieres,lavandes et bories ,"3,5",12,400,0019576152,28/6/2018,0019576152,
30,30,2,Flassan,St Esteve Ventoux combe Canaud,3,10,360,0019591627,16/4/2024,0019591627,
61,61,2,Flassan,Pkg 4-les grangeons,"2,5",9,250,0020085813,10/10/2024,0020085813,
98,97,2,Flassan,Perrache,3,10,200,0019591364,9/3/2023,0019591364,
109,108,3,Flassan,chapelle St Jean,"2,5",14,600,0019591397,18/4/2023,0019591397,
153,152,3,Flassan,Flassan vers combe de clare,3,11,260,0020068969,4/10/2022,0020068969,
165,164,4,Flassan,Les febriers Jas de la couanche,3,12,660,0019591257,30/12/1899,0019591257,
230,195,3,Flassan,Combe Ripert,"2,5",11,400,0020141164,7/1/2020,0020141164,
301,240,3,Flassan,combe canaud,2,14,618,,23/2/2021,https://www.openrunner.com/r/,
336,256,2,Flassan,Combe de Canaud,"2,5",9,350,0020180133,18/11/2021,0020180133,
386,282,2,Flassan,les Febriers-Fontaine serrete,"2,5",9,340,,14/4/2022,https://www.openrunner.com/r/,
414,302,2,Flassan, Combe des Boyers ,"1,5",8,300,0019575363,25/1/2018,0019575363,
466,346,2,Flassan,les Febriers-Jas de la couanche,"2,5",12,680,,4/10/2018,https://www.openrunner.com/r/SI(ESTERREUR(,0014874248
490,361,3,Flassan,La Chapelle St Jean,2,14,425,,5/2/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
497,366,3,Flassan,Sentier d'interpretation de la combe canaud,"2,5",9,435,,28/2/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
510,377,3,Flassan, Monument au morts-La combe Canaud la chapelle St Jean,"2,5",14,425,,16/4/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
16,16,3,Fontaine de Vaucluse,Galas-aqueduc,"3,5",11,420,0019575069,27/2/2024,0019575069,
99,98,3,Fontaine de Vaucluse,pkg de l'oule-mur de la peste,"3,5",14,560,0020085782,14/3/2023,0020085782,
108,107,2,Fontaine de Vaucluse,Galas-le bondelon le chateau,3,10,320,0020085865,13/4/2023,0020085865,
147,146,4,Fontaine de Vaucluse,Aven de Valescure,"3,5","13,5",565,0019575334,5/12/2023,0019575334,
273,227,3,Fontaine de Vaucluse, Galas-Fontaine de Vaucluse,3,9,330,0019575244,29/10/2020,0019575244,
